filename,status,actual_url,source_page,request_url,activity,chapter,slot,role,shot_wanted,notes,width,height,bytes
lovelakes-01.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/LOVE_LAKE_DUBAI.jpg/3840px-LOVE_LAKE_DUBAI.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:LOVE_LAKE_DUBAI.jpg,https://www.google.com/search?tbm=isch&q=Al%20Qudra%20and%20the%20Love%20Lakes%20Dubai,Al Qudra and the Love Lakes,Quiet and dark,1,hero · official,the signature wide shot,Exact wide sunset view across Love Lake; Commons creator and reuse terms are on the source page.,2000,1126,495282
lovelakes-02.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Love_lakes_DDE351EC-AC8A-42CE-A595-2EE2B5DFC103.jpg/3840px-Love_lakes_DDE351EC-AC8A-42CE-A595-2EE2B5DFC103.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Love_lakes_DDE351EC-AC8A-42CE-A595-2EE2B5DFC103.jpg,https://www.google.com/search?tbm=isch&q=Al%20Qudra%20and%20the%20Love%20Lakes%20Dubai,Al Qudra and the Love Lakes,Quiet and dark,2,carousel · official,"a second angle — interior, or the thing itself close up","Exact reflective sculpture and lakeside view at Love Lake, compositionally distinct from the sunset hero.",2000,1500,591282
lovelakes-03.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Love_lake_honeymoon_%21.jpg/3840px-Love_lake_honeymoon_%21.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Love_lake_honeymoon_!.jpg,https://www.tripadvisor.com/Search?q=Al%20Qudra%20and%20the%20Love%20Lakes%20Al%20Qudra,Al Qudra and the Love Lakes,Quiet and dark,3,carousel · candid,"a real visitor photo — people in frame, imperfect light",Exact candid couple portrait at Love Lake; used as honest visitor context in place of an inaccessible review-platform binary.,2000,1500,672769
lovelakes-04.jpg,not_found,,,https://www.instagram.com/explore/tags/alqudraandthelovelakes,Al Qudra and the Love Lakes,Quiet and dark,4,carousel · candid,"something from the venue's own Instagram, or a tagged post","No distinct, attributable Love Lake tagged-social image meeting the quality floor was found; the requested tag was inaccessible.",,,
yacht-01.jpg,downloaded,https://file.skywalker.ae/yachts/2025/11/17/20251117133926A387.webp,https://www.skywalker.ae/news/best-sunset-yacht-rental-dubai-palm-jumeirah-prices-routes-booking-tips-2025/,https://www.google.com/search?tbm=isch&q=A%20boat%20at%20sunset%20Dubai,A boat at sunset,Quiet and dark,1,hero · official,the signature wide shot,Exact current Dubai charter-operator view of a yacht crossing pink sunset water.,1300,800,145260
yacht-02.jpg,downloaded,https://file.skywalker.ae/yachts/2025/11/17/20251117133712A383.webp,https://www.skywalker.ae/news/best-sunset-yacht-rental-dubai-palm-jumeirah-prices-routes-booking-tips-2025/,https://www.google.com/search?tbm=isch&q=A%20boat%20at%20sunset%20Dubai,A boat at sunset,Quiet and dark,2,carousel · official,"a second angle — interior, or the thing itself close up",Exact current operator view of a yacht with Burj Al Arab in the sunset background.,1300,800,121497
yacht-03.jpg,downloaded,https://file.skywalker.ae/yachts/2025/11/17/20251117133641A382.webp,https://www.skywalker.ae/news/best-sunset-yacht-rental-dubai-palm-jumeirah-prices-routes-booking-tips-2025/,https://www.tripadvisor.com/Search?q=A%20boat%20at%20sunset%20Dubai%20Marina,A boat at sunset,Quiet and dark,3,carousel · candid,"a real visitor photo — people in frame, imperfect light","Exact current operator aerial of a yacht tracing Palm Jumeirah toward Atlantis, selected as route context when no clean candid was available.",1300,800,199337
yacht-04.jpg,downloaded,https://file.skywalker.ae/yachts/2025/11/17/20251117133741A384.webp,https://www.skywalker.ae/news/best-sunset-yacht-rental-dubai-palm-jumeirah-prices-routes-booking-tips-2025/,https://www.instagram.com/explore/tags/aboatatsunset,A boat at sunset,Quiet and dark,4,carousel · candid,"something from the venue's own Instagram, or a tagged post",Exact current operator view of a yacht against the Dubai Marina skyline at golden hour.,1300,800,163986
opera-01.jpg,downloaded,https://images.pexels.com/photos/35665799/pexels-photo-35665799.jpeg?cs=srgb&dl=pexels-dawidtkocz-35665799.jpg&fm=jpg,https://www.pexels.com/photo/dubai-opera-at-night-with-modern-architecture-35665799/,https://www.dubaiopera.com/,Dubai Opera,Quiet and dark,1,hero · official,the signature wide shot,Exact free-stock night exterior of Dubai Opera; used because the current official site's linked venue binaries return access errors.,2000,1333,618314
opera-02.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/4/48/Inside_the_Dubai_Opera.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:Inside_the_Dubai_Opera.jpg,https://www.dubaiopera.com/,Dubai Opera,Quiet and dark,2,carousel · official,"a second angle — interior, or the thing itself close up",Exact visitor view inside Dubai Opera; Commons attribution and reuse terms are on the source page.,1500,2000,531019
opera-03.jpg,not_found,,,https://www.tripadvisor.com/Search?q=Dubai%20Opera%20Downtown,Dubai Opera,Quiet and dark,3,carousel · candid,"a real visitor photo — people in frame, imperfect light",No attributable review-platform candid meeting the quality floor was downloadable; the selected interior provides visitor context instead.,,,
kayaksunrise-01.jpg,downloaded,https://www.thenationalnews.com/resizer/v2/MQNDGPJ7Z7QWDJQUQNJOGZWC2U.jpg?auth=b96844ce1da203988c210a31950a2bf092f80db5a1f3fb788349e2f5a45f45d4&height=900&smart=true&width=1600,https://www.thenationalnews.com/gulf-news/fun-in-the-sun-on-dubai-s-kite-beach-in-pictures-1.1237828,https://www.google.com/search?tbm=isch&q=Kayak%20or%20paddleboard%20at%20sunrise%20Dubai,Kayak or paddleboard at sunrise,Quiet and dark,1,hero · official,the signature wide shot,Exact editorial paddleboarding action at Dubai's Kite Beach near golden hour.,1600,900,458260
kayaksunrise-02.jpg,downloaded,https://da28ojrjakn6f.cloudfront.net/tickets/32988/NEW/img_1671008976_1671008992__standuppaddle1.jpg?v=1.1.0,https://experiences.visitdubai.com/productDetail/35818,https://www.google.com/search?tbm=isch&q=Kayak%20or%20paddleboard%20at%20sunrise%20Dubai,Kayak or paddleboard at sunrise,Quiet and dark,2,carousel · official,"a second angle — interior, or the thing itself close up","Exact Visit Dubai booking image of stand-up paddleboarding on Palm Jumeirah with Burj Al Arab behind; selected as bright, landscape Dubai context distinct from the sunrise silhouette.",1920,1080,300273
kayaksunrise-03.jpg,not_found,,,https://www.tripadvisor.com/Search?q=Kayak%20or%20paddleboard%20at%20sunrise%20Kite%20Beach%20%2F%20The%20Palm,Kayak or paddleboard at sunrise,Quiet and dark,3,carousel · candid,"a real visitor photo — people in frame, imperfect light",No additional attributable Kite Beach or Palm review candid meeting the quality floor was found after selecting exact editorial action and sunrise category context.,,,
picnic-01.jpg,downloaded,https://images.pexels.com/photos/8351229/pexels-photo-8351229.jpeg?cs=srgb&dl=pexels-mikhail-nilov-8351229.jpg&fm=jpg,https://www.pexels.com/photo/a-couple-having-a-picnic-together-8351229/,https://unsplash.com/s/photos/blanket-and-lantern%2C-desert-at-dusk,A picnic somewhere with no lights,Quiet and dark,1,hero · category,"blanket and lantern, desert at dusk",Representative free-stock couple sharing a blanket picnic in a sandy landscape; no Dubai venue is implied.,1333,2000,344162
picnic-02.jpg,downloaded,https://images.unsplash.com/photo-1760937581288-89666e107923?auto=format&fit=crop&fm=jpg&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&ixlib=rb-4.1.0&q=60&w=3000,https://unsplash.com/photos/lantern-hanging-on-a-wooden-post-in-the-desert-A8Edq46YMxU,https://www.google.com/search?tbm=isch&q=blanket%20and%20lantern%2C%20desert%20at%20dusk%20Dubai,A picnic somewhere with no lights,Quiet and dark,2,carousel · category,"blanket and lantern, desert at dusk, Dubai if possible","Exact Dubai-desert lantern detail under the Unsplash license, adding the intended no-light-pollution mood.",1125,2000,329835
